Sample ID,Category,SDate,Conductivity_uS/cm,Nitrate,Sulphate,Iron,sid
MW4,Operational,2010,306,0.22,1,1.03,121
MW4,Operational,2010,316,0.46,5,1.03,122
MW4,Operational,2010,331,1.05,1,0.7,123
MW4,Operational,2010,389,0.16,1,2.98,124
MW5,Operational,1999,31.6,0,1.1,0.980347988,125
MW5,Operational,1999,24.6,0,8.9,0.46544757,126
MW5,Operational,2003,23.4,0.5,10,0.677294926,127
MW5,Operational,2003,23.4,1.8,10.8,0.217209107,128
MW5,Operational,2004,291,0,1.9,0.540074597,129
MW5,Operational,2004,262,0,6.4,0.337058533,130
MW5,Operational,2004,22.5,0.1,6.7,0.213840569,131
MW5,Operational,2004,199,0.1,17.1,0.845956213,132
MW5,Operational,2004,186,0.1,8.4,0.548796824,133
MW5,Operational,2004,230,0.2,31.2,0.649235027,134
MW5,Operational,2004,276,0,5.3,0.359633011,135
MW5,Operational,2004,15.3,1.6,20.3,0.259187493,136
MW5,Operational,2005,332,0.6,2,0.546936761,137
MW5,Operational,2005,316,0.1,2.3,0.26411485,138
MW5,Operational,2005,286,0.3,8.6,0.477096175,139
MW5,Operational,2005,283,0.7,1.3,0.578697493,140
MW5,Operational,2005,342,0.1,24.2,0.656538645,141
MW5,Operational,2005,326,0.6,3.3,0.09357285,142
MW5,Operational,2005,313,0.9,14.6,0.519845669,143
MW5,Operational,2005,302,0.3,7.4,0.376785039,144
MW5,Operational,2005,155,0.1,12.6,0.615102849,145
MW5,Operational,2005,181,1,18.2,0.545218145,146
MW5,Operational,2005,187,0.1,11.4,0.705535696,147
MW5,Operational,2005,204,0.4,8.5,0.713057378,148
MW5,Operational,2006,604,6.7,70.9,0.04,149
MW5,Operational,2006,650,1.3,115.2,0.980996111,150
MW5,Operational,2006,398,3,1.1,0.846843351,151
MW5,Operational,2006,56.3,5.5,16,0.54839702,152
MW5,Operational,2006,23.4,7.6,60.8,0.380092137,153
MW5,Operational,2006,214,0.8,18.6,0.424634245,154
MW5,Operational,2006,345,0.1,5.9,0.211669302,155
MW5,Operational,2006,216.4,0.4,11.4,0.017897533,156
MW5,Operational,2006,284,4.3,35.5,0.985065327,157
MW5,Operational,2006,308,3.7,36.8,0.688164204,158
MW5,Operational,2006,197,0.5,4.1,0.555127315,159
MW5,Operational,2006,418,2.2,91.5,0.932230178,160
MW5,Operational,2007,820,1.9,200,0.01,161
MW5,Operational,2007,978,2.8,260.9,0.01,162
MW5,Operational,2007,1101,19.9,342.4,0.04,163
MW5,Operational,2007,547,0.7,1.1,0.19,164
MW5,Operational,2007,314,11.7,12,0.34,165
MW5,Operational,2007,272.2,0.4,11.2,0.35,166
MW5,Operational,2007,319,1.5,3,0.58,167
MW5,Operational,2007,283.3,1.7,11.9,0.77,168
MW5,Operational,2007,291.9,0.2,19.4,1.18,169
MW5,Operational,2007,1724,0.3,338,0.05,170
MW5,Operational,2007,1132,0.1,300,0.02,171
MW5,Operational,2007,342,1.1,16,0.01,172
MW5,Operational,2008,174,1.7,79.8,0.03,173
MW5,Operational,2008,352,1.44,55,0.02,174
MW5,Operational,2008,397,0.4,54.2,0.04,175
MW5,Operational,2009,714,0.16,135.4,0.02,176
MW5,Operational,2009,663,2.72,195.4,0.02,177
MW5,Operational,2009,185.6,2.87,63,0.2,178
MW5,Operational,2009,482,2.79,101,0.2,179
MW5,Operational,2010,412,0.31,49,0.74,180
MW5,Operational,2010,296,0.86,41,0.29,181
MW5,Operational,2010,591,1.25,123,0.1,182
MW6,Surveillance,1999,23.5,0.01,9.4,0.135803379,185
MW6,Surveillance,1999,35.6,0.01,3.2,0.619334868,186
MW6,Surveillance,2003,25.5,2.21,3.2,0.205896701,197
MW6,Surveillance,2003,13.6,2.71,0.1,0.393401259,198
MW6,Surveillance,2004,23.7,0.01,6,0.394800454,199
MW6,Surveillance,2004,339,0.02,4.4,0.993618131,200
MW6,Surveillance,2004,20.7,4.34,20.6,0.100583503,201
MW6,Surveillance,2004,157,0.03,7.4,0.937843713,202
MW6,Surveillance,2004,373,0.02,0.1,0.438197656,203
MW6,Surveillance,2004,255,0.1,5.4,0.686953671,204
MW6,Surveillance,2004,199,0.05,15.1,0.879965074,205
MW6,Surveillance,2004,400,0.85,0.3,0.265234823,206
MW6,Surveillance,2005,411,0.53,0.1,0.683027933,207
MW6,Surveillance,2005,476,0.06,0.5,0.517007085,208
MW6,Surveillance,2005,411,0.1,3.4,0.314434664,209
MW6,Surveillance,2005,375,0.63,1.1,0.581589049,210
MW6,Surveillance,2005,416,0.23,0.6,0.620697289,211
MW6,Surveillance,2005,202,0.48,8.3,0.416483925,212
MW6,Surveillance,2005,323,1.06,1,0.481838968,213
MW6,Surveillance,2005,249,0.03,6.2,0.092523379,214
MW6,Surveillance,2005,237,0.74,7.1,0.132285946,215
MW6,Surveillance,2005,210,0.12,7.4,0.494025899,216
MW6,Surveillance,2005,444,0.11,4.7,0.169257463,217
MW6,Surveillance,2005,413,0.51,0.5,0.977152043,218
MW6,Surveillance,2006,366,0.01,4.1,0.01,219
MW6,Surveillance,2006,69.3,0.31,3.4,0.542331426,220
MW6,Surveillance,2006,434,1.97,1,0.115785799,221
MW6,Surveillance,2006,22.4,0.04,1.1,0.286426816,222
MW6,Surveillance,2006,248,2.47,0.7,0.026056249,223
MW6,Surveillance,2006,346,0.28,4.1,0.507626372,224
MW6,Surveillance,2006,118,0.01,22.3,0.158673682,225
MW6,Surveillance,2006,108,1.59,10.8,0.022167543,226
MW6,Surveillance,2006,398,0.24,0.1,0.665824703,227
MW6,Surveillance,2006,155,0.3,13,0.439840497,228
MW6,Surveillance,2006,51,4.73,3.6,0.921501442,229
MW6,Surveillance,2006,231,0.01,1.1,0.583225133,230
MW6,Surveillance,2007,314,5.59,5.2,0.03,231
MW6,Surveillance,2007,432,0.02,34.7,0.03,232
MW6,Surveillance,2007,517,0.9,4.5,0.03,233
MW6,Surveillance,2007,564,0.49,1,0.08,234
MW6,Surveillance,2007,166.3,1.39,26,0.19,235
MW6,Surveillance,2007,393,0.08,43.3,0.2,236
MW6,Surveillance,2007,360,0.89,1,0.88,237
MW6,Surveillance,2007,351,0.06,5.2,1.63,238
MW6,Surveillance,2007,431,0.01,4.2,0.01,239
MW6,Surveillance,2007,454,0.07,9.1,0.11,240
MW6,Surveillance,2007,306,0.55,1.8,1,241
MW6,Surveillance,2008,684,25.7,74.8,0.04,242
MW6,Surveillance,2008,291.8,0.38,63.4,0.38,243
MW6,Surveillance,2008,175,0.07,1.4,0.02,244
MW6,Surveillance,2008,1277,11.1,36.1,0.02,245
MW6,Surveillance,2008,561,13,37.2,0.02,246
MW6,Surveillance,2008,597,10.4,37.7,0.02,247
MW6,Surveillance,2008,891,0.21,2.6,0.02,248
MW6,Surveillance,2009,478,3.16,57,0.02,249
MW6,Surveillance,2009,198,3.79,1,0.3,250
MW6,Surveillance,2009,723,20.1,108,0.1,251
MW6,Surveillance,2010,958,17,100,0.034728708,252
MW6,Surveillance,2010,801,22.5,182,0.28,253
MW6,Surveillance,2010,2213,165,516,0.1,254
MW6,Surveillance,2010,1749,82,420,0.02,255
MW6,Surveillance,2010,1281,47,370,0.02,256
MW6,Surveillance,2010,1461,62.5,440,0.02,257
MW7,Surveillance,1999,46.6,0.01,6.7,0.26268992,258
MW7,Surveillance,1999,54,0.01,1,0.746069142,259
MW7,Surveillance,1999,28,0.56,1,0.929450283,260
MW7,Surveillance,1999,32.4,0.12,1,0.203789247,261
MW7,Surveillance,1999,42.5,0.67,1,0.598475992,262
MW7,Surveillance,1999,54.6,0.34,1,0.787204977,263
MW7,Surveillance,1999,60,,1,0.350469738,264
MW7,Surveillance,2003,49.1,6.75,5,0.635391329,265
MW7,Surveillance,2003,41.6,0.25,0.1,0.679654001,266
MW7,Surveillance,2004,34,0.21,6.7,0.448960541,267
MW7,Surveillance,2004,34.8,0.12,10.9,0.249244481,268
MW7,Surveillance,2004,52,0.02,2.9,0.805452369,269
MW7,Surveillance,2004,28.5,0.04,8.8,0.675920204,270
MW7,Surveillance,2005,27.7,0.48,24.7,0.134046883,271
MW7,Surveillance,2005,31.1,0.22,4.5,0.101704389,272
MW7,Surveillance,2006,346,0.05,24.1,0.04,273
MW7,Surveillance,2006,93,3.59,13,0.299455688,274
MW7,Surveillance,2006,276.7,1.76,16.3,0.894093907,275
MW7,Surveillance,2006,92,5.02,8.5,0.349421466,276
MW7,Surveillance,2006,168,2.68,19.4,0.550592054,277
MW7,Surveillance,2006,462,0.01,12.2,0.166499356,278
MW7,Surveillance,2006,233,4.23,13.2,0.954617545,279
MW7,Surveillance,2006,149,12.9,19.1,0.498654819,280
MW7,Surveillance,2006,526,0.05,27.2,0.614089514,281
MW7,Surveillance,2006,74.7,1.51,23.8,0.279906875,282
MW7,Surveillance,2006,106.7,1.37,13.6,0.932259128,283
MW7,Surveillance,2007,2170,114.1,173,0.01,284
MW7,Surveillance,2007,497,36.8,13.9,0.01,285
MW7,Surveillance,2007,235.8,0.92,12.8,0.01,286
MW7,Surveillance,2007,438,19.8,12.2,0.09,287
MW7,Surveillance,2007,206.7,1.44,24.8,0.17,288
MW7,Surveillance,2007,1115,63.7,119,0.01,289
MW7,Surveillance,2007,1131,37.3,49,0.06,290
MW7,Surveillance,2007,345,15.6,8.8,0.61,291
MW7,Surveillance,2007,632,0.42,21.4,0.13,292
MW7,Surveillance,2008,900,53.1,230.9,0.01,293
MW7,Surveillance,2008,1280,50,230.1,0.01,294
MW7,Surveillance,2008,703,0.26,132,0.03,295
MW7,Surveillance,2008,802,89.4,785.1,0.05,296
MW7,Surveillance,2008,805,23.3,179.6,0.06,297
MW7,Surveillance,2009,740,31.1,125.1,0.02,298
MW7,Surveillance,2009,1588,19.4,645,0.1,299
MW7,Surveillance,2009,711,17.8,204,0.1,300
MW7,Surveillance,2010,400,0.55,88,0.4,301
MW7,Surveillance,2010,613,0.71,157,0.31,302
MW7,Surveillance,2010,2148,27.2,1030,0.1,303
MW7,Surveillance,2010,532,0.09,42,0.98,304
MW7,Surveillance,2010,898,0.11,320,0.02,305
MW8,Control,2004,14.8,0.46,16.6,0.987736193,306
MW8,Control,2004,28.1,0.96,6.6,0.207863664,307
MW8,Control,2004,15.3,1.47,17.9,0.126760307,308
MW8,Control,2005,23.4,1.86,12.7,0.646654961,309
MW8,Control,2005,18.8,0.7,14.3,0.595573455,310
MW8,Control,2005,35.6,10.2,2.2,0.230088381,311
MW8,Control,2005,23.3,1.1,12.2,0.062737934,312
MW8,Control,2005,19.6,1.02,16.3,0.873216378,313
MW8,Control,2006,12.8,1.47,16.8,0.623711265,314
MW8,Control,2006,133.6,0.1,6.7,0.021118787,315
MW8,Control,2006,306,1.58,8.2,0.376715178,316
MW8,Control,2007,329,0.01,0.1,0.01,317
MW8,Control,2007,352,0.02,0.1,0.81,318
MW8,Control,2007,379,4.48,0.1,3.36,319
MW8,Control,2008,123.4,0.64,1,1.01,320
MW8,Control,2009,122.8,0.48,1,0.3,321
MW8,Control,2009,412,0.02,1,6.4,322
MW8,Control,2010,400,0.13,1,1.43,323
MW8,Control,2010,391,0.23,1,0.25911103,324
MW8,Control,2010,211.2,0.41,1,0.315554418,325
