Sample ID,Category,Date,Conductivity,Nitrate,Sulphate,Iron,id
MW6,Surveillance,2003,25.5,2.21,3.2,0.20,197
MW6,Surveillance,2003,13.6,2.71,0.1,0.39,198
MW6,Surveillance,2004,23.7,0.01,6,0.39,199
MW6,Surveillance,2004,339,0.02,4.4,0.99,200
MW6,Surveillance,2004,20.7,4.34,20.6,0.10,201
MW6,Surveillance,2004,157,0.03,7.4,0.93,202
MW6,Surveillance,2004,373,0.02,0.1,0.43,203
MW6,Surveillance,2004,255,0.1,5.4,0.68,204
MW6,Surveillance,2004,199,0.05,15.1,0.87,205
MW6,Surveillance,2004,400,0.85,0.3,0.26,206
MW6,Surveillance,2005,411,0.53,0.1,0.68,207
MW6,Surveillance,2005,476,0.06,0.5,0.51,208
MW6,Surveillance,2005,411,0.1,3.4,0.31,209
MW6,Surveillance,2005,375,0.63,1.1,0.58,210
MW6,Surveillance,2005,416,0.23,0.6,0.62,211
MW6,Surveillance,2005,202,0.48,8.3,0.41,212
MW6,Surveillance,2005,323,1.06,1,0.48,213
MW6,Surveillance,2005,249,0.03,6.2,0.09,214
MW6,Surveillance,2005,237,0.74,7.1,0.13,215
MW6,Surveillance,2005,210,0.12,7.4,0.49,216
MW6,Surveillance,2005,444,0.11,4.7,0.16,217
MW6,Surveillance,2005,413,0.51,0.5,0.97,218
MW6,Surveillance,2006,366,0.01,4.1,0.01,219
MW6,Surveillance,2006,69.3,0.31,3.4,0.54,220
MW6,Surveillance,2006,434,1.97,1,0.11,221
MW6,Surveillance,2006,22.4,0.04,1.1,0.28,222
MW6,Surveillance,2006,248,2.47,0.7,0.02,223
MW6,Surveillance,2006,346,0.28,4.1,0.50,224
MW6,Surveillance,2006,118,0.01,22.3,0.15,225
MW6,Surveillance,2006,108,1.59,10.8,0.02,226
MW6,Surveillance,2006,398,0.24,0.1,0.66,227
MW6,Surveillance,2006,155,0.3,13,0.43,228
MW6,Surveillance,2006,51,4.73,3.6,0.92,229
MW6,Surveillance,2006,231,0.01,1.1,0.58,230
MW6,Surveillance,2007,314,5.59,5.2,0.03,231
MW6,Surveillance,2007,432,0.02,34.7,0.03,232
MW6,Surveillance,2007,517,0.9,4.5,0.03,233
MW6,Surveillance,2007,564,0.49,1,0.08,234
MW6,Surveillance,2007,166.3,1.39,26,0.19,235
MW6,Surveillance,2007,393,0.08,43.3,0.20,236
MW6,Surveillance,2007,360,0.89,1,0.88,237
MW6,Surveillance,2007,351,0.06,5.2,1.63,238
MW6,Surveillance,2007,431,0.01,4.2,0.01,239
MW6,Surveillance,2007,454,0.07,9.1,0.11,240
MW6,Surveillance,2007,306,0.55,1.8,1.00,241
MW6,Surveillance,2008,684,25.7,74.8,0.04,242
MW6,Surveillance,2008,291.8,0.38,63.4,0.38,243
MW6,Surveillance,2008,175,0.07,1.4,0.02,244
MW6,Surveillance,2008,1277,11.1,36.1,0.02,245
MW6,Surveillance,2008,561,13,37.2,0.02,246
MW6,Surveillance,2008,597,10.4,37.7,0.02,247
MW6,Surveillance,2008,891,0.21,2.6,0.02,248
MW6,Surveillance,2009,478,3.16,57,0.02,249
MW6,Surveillance,2009,198,3.79,1,0.30,250
MW6,Surveillance,2009,723,20.1,108,0.10,251
MW6,Surveillance,2010,958,17,100,0.03,252
MW6,Surveillance,2010,801,22.5,182,0.28,253
MW6,Surveillance,2010,2213,165,516,0.10,254
MW6,Surveillance,2010,1749,82,420,0.02,255
MW6,Surveillance,2010,1281,47,370,0.02,256
MW6,Surveillance,2010,1461,62.5,440,0.02,257
MW7,Surveillance,1999,46.6,0.01,6.7,0.26,258
MW7,Surveillance,1999,54,0.01,1,0.74,259
MW7,Surveillance,1999,28,0.56,1,0.92,260
MW7,Surveillance,1999,32.4,0.12,1,0.20,261
MW7,Surveillance,1999,42.5,0.67,1,0.59,262
MW7,Surveillance,1999,54.6,0.34,1,0.78,263
MW7,Surveillance,1999,60,,1,0.35,264
MW7,Surveillance,2003,49.1,6.75,5,0.63,265
MW7,Surveillance,2003,41.6,0.25,0.1,0.67,266
MW7,Surveillance,2004,34,0.21,6.7,0.44,267
MW7,Surveillance,2004,34.8,0.12,10.9,0.24,268
MW7,Surveillance,2004,52,0.02,2.9,0.80,269
MW7,Surveillance,2004,28.5,0.04,8.8,0.67,270
MW7,Surveillance,2005,27.7,0.48,24.7,0.13,271
MW7,Surveillance,2005,31.1,0.22,4.5,0.10,272
MW7,Surveillance,2006,346,0.05,24.1,0.04,273
MW7,Surveillance,2006,93,3.59,13,0.29,274
MW7,Surveillance,2006,276.7,1.76,16.3,0.89,275
MW7,Surveillance,2006,92,5.02,8.5,0.34,276
MW7,Surveillance,2006,168,2.68,19.4,0.55,277
MW7,Surveillance,2006,462,0.01,12.2,0.16,278
MW7,Surveillance,2006,233,4.23,13.2,0.95,279
MW7,Surveillance,2006,149,12.9,19.1,0.49,280
MW7,Surveillance,2006,526,0.05,27.2,0.61,281
MW7,Surveillance,2006,74.7,1.51,23.8,0.27,282
MW7,Surveillance,2006,106.7,1.37,13.6,0.93,283
MW7,Surveillance,2007,2170,114.1,173,0.01,284
MW7,Surveillance,2007,497,36.8,13.9,0.01,285
MW7,Surveillance,2007,235.8,0.92,12.8,0.01,286
MW7,Surveillance,2007,438,19.8,12.2,0.09,287
MW7,Surveillance,2007,206.7,1.44,24.8,0.17,288
MW7,Surveillance,2007,1115,63.7,119,0.01,289
MW7,Surveillance,2007,1131,37.3,49,0.06,290
MW7,Surveillance,2007,345,15.6,8.8,0.61,291
MW7,Surveillance,2007,632,0.42,21.4,0.13,292
MW7,Surveillance,2008,900,53.1,230.9,0.01,293
MW7,Surveillance,2008,1280,50,230.1,0.01,294
MW7,Surveillance,2008,703,0.26,132,0.03,295
MW7,Surveillance,2008,802,89.4,785.1,0.05,296
MW7,Surveillance,2008,805,23.3,179.6,0.06,297
MW7,Surveillance,2009,740,31.1,125.1,0.02,298
MW7,Surveillance,2009,1588,19.4,645,0.10,299
MW7,Surveillance,2009,711,17.8,204,0.10,300
MW7,Surveillance,2010,400,0.55,88,0.40,301
MW7,Surveillance,2010,613,0.71,157,0.31,302
MW7,Surveillance,2010,2148,27.2,1030,0.10,303
MW7,Surveillance,2010,532,0.09,42,0.98,304
MW7,Surveillance,2010,898,0.11,320,0.02,305
MW8,Control,2004,14.8,0.46,16.6,0.98,306
MW8,Control,2004,28.1,0.96,6.6,0.20,307
MW8,Control,2004,15.3,1.47,17.9,0.12,308
MW8,Control,2005,23.4,1.86,12.7,0.64,309
MW8,Control,2005,18.8,0.7,14.3,0.59,310
MW8,Control,2005,35.6,10.2,2.2,0.23,311
MW8,Control,2005,23.3,1.1,12.2,0.06,312
MW8,Control,2005,19.6,1.02,16.3,0.87,313
MW8,Control,2006,12.8,1.47,16.8,0.62,314
MW8,Control,2006,133.6,0.1,6.7,0.02,315
MW8,Control,2006,306,1.58,8.2,0.37,316
MW8,Control,2007,329,0.01,0.1,0.01,317
MW8,Control,2007,352,0.02,0.1,0.81,318
MW8,Control,2007,379,4.48,0.1,3.36,319
MW8,Control,2008,123.4,0.64,1,1.01,320
MW8,Control,2009,122.8,0.48,1,0.30,321
MW8,Control,2009,412,0.02,1,6.40,322
MW8,Control,2010,400,0.13,1,1.43,323
MW8,Control,2010,391,0.23,1,0.25,324
MW8,Control,2010,211.2,0.41,1,0.31,325
